Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sheath_sumtemp	Sheath_diameter	Sheath_length	Sheath_final_length	Sheath_surface	Sheath_PAR	Photosynthetic
30.0	254.8	1.8	1	Maxwell	(1,)	-1	1	189.0	0.4	1.97442424242	2.148	1.24056733901	0.0	True
30.0	254.8	1.8	1	Maxwell	(1,)	-1	2	99.3	0.4	0.0	2.70152	0.0	0.0	True
30.0	254.8	1.8	2	Maxwell	(1,)	-1	1	179.0	0.4	1.30724242424	2.148	0.821364639292	0.0	True
30.0	254.8	1.8	2	Maxwell	(1,)	-1	2	78.5	0.4	0.0	2.70152	0.0	0.0	True
30.0	254.8	1.8	3	Maxwell	(1,)	-1	1	136.0	0.4	0.0	2.148	0.0	0.0	True
30.0	254.8	1.8	3	Maxwell	(1,)	-1	2	36.4	0.4	0.0	2.70152	0.0	0.0	True
30.0	254.8	1.8	4	Maxwell	(1,)	-1	1	198.8	0.4	2.148	2.148	1.34962820398	0.0	True
30.0	254.8	1.8	4	Maxwell	(1,)	-1	2	99.3	0.4	0.0	2.70152	0.0	0.0	True
31.0	254.9	0.1	1	Maxwell	(1, 1)	1	1	0.1	0.4	0.0	2.148	0.0	0.0	True
31.0	254.9	0.1	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
31.0	254.9	0.1	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
31.0	254.9	0.1	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
31.0	254.9	0.1	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
31.0	254.9	0.1	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
31.0	254.9	0.1	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
31.0	254.9	0.1	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
31.0	254.9	0.1	4	Maxwell	(1, 1)	1	1	0.1	0.4	0.0	2.148	0.0	0.0	True
31.0	254.9	0.1	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
31.0	254.9	0.1	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
31.0	254.9	0.1	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
32.0	254.9	-0.6	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
32.0	254.9	-0.6	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
32.0	254.9	-0.6	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
32.0	254.9	-0.6	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
32.0	254.9	-0.6	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
32.0	254.9	-0.6	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
32.0	254.9	-0.6	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
32.0	254.9	-0.6	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
32.0	254.9	-0.6	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
32.0	254.9	-0.6	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
33.0	254.9	-1.1	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
