Elapsed_time	Temp_cum	Num_plante	Genotype	Num_talle	Ear_sumtemp	Ear_length	Ear_surface	Ear_PAR	Photosynthetic	Emerged
85.0	391.5	4	Maxwell	(1, 5, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 5, 2, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 5, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 5, 4)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 5)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 6, 1, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 6, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 6, 3)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 6)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 7, 2)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 7)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 8, 1)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 8)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1, 10)	15.9	0.0	0.0	0.0	True	False
85.0	391.5	4	Maxwell	(1,)	24.9	0.0	0.0	0.0	True	True
86.0	393.6	1	Maxwell	(1, 2, 1, 1, 1, 1)	4.1	0.0	0.0	0.0	True	False
86.0	393.6	1	Maxwell	(1, 2, 1, 1, 1)	4.1	0.0	0.0	0.0	True	False
86.0	393.6	1	Maxwell	(1, 2, 1, 1, 3)	4.1	0.0	0.0	0.0	True	False
86.0	393.6	1	Maxwell	(1, 2, 1, 1)	4.1	0.0	0.0	0.0	True	False
86.0	393.6	1	Maxwell	(1, 2, 1, 2, 2)	4.1	0.0	0.0	0.0	True	False
86.0	393.6	1	Maxwell	(1, 2, 1, 2)	4.1	0.0	0.0	0.0	True	False
86.0	393.6	1	Maxwell	(1, 2, 1, 3, 1)	4.1	0.0	0.0	0.0	True	False
86.0	393.6	1	Maxwell	(1, 2, 1, 3)	4.1	0.0	0.0	0.0	True	False
