Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;12;21;3.8;407.4;8229480
France;1901;12;22;4.4545454545;479.2;9679840
France;1901;12;23;5.1909090909;494.2;9982840
France;1901;12;24;5.1272727273;465.1;9395020
France;1901;12;25;4.5181818182;552.8;11166560
France;1901;12;26;3.1454545455;552.7;11164540
France;1901;12;27;3.1272727273;576.7;11649340
France;1901;12;28;2.8454545455;544.2;10992840
France;1901;12;29;3.7363636364;512.5;10352500
France;1901;12;30;4.8363636364;555;11211000
France;1901;12;31;5.6818181818;507.6;10253520
France;1902;1;1;4.9272727273;502.1;10142420
France;1902;1;2;3.5363636364;546.7;11043340
France;1902;1;3;3.6;542.8;10964560
France;1902;1;4;3.6;537;10847400
France;1902;1;5;4.3909090909;533.4;10774680
France;1902;1;6;5.2727272727;641;12948200
France;1902;1;7;5.3727272727;473.1;9556620
France;1902;1;8;5.3181818182;588.4;11885680
France;1902;1;9;5.2636363636;492.9;9956580
France;1902;1;10;4.9636363636;580.3;11722060
France;1902;1;11;5.6272727273;573.9;11592780
France;1902;1;12;5.8;664.1;13414820
France;1902;1;13;5.9272727273;701.5;14170300
France;1902;1;14;4.1545454545;615.5;12433100
France;1902;1;15;3.9454545455;740.6;14960120
France;1902;1;16;4.6818181818;397.9;8037580
France;1902;1;17;5.5636363636;711;14362200
France;1902;1;18;5.8090909091;614.7;12416940
France;1902;1;19;6.3;546.9;11047380
France;1902;1;20;5.9090909091;690.7;13952140
France;1902;1;21;4.9454545455;774.2;15638840
France;1902;1;22;4.5454545455;682.7;13790540
France;1902;1;23;4.2818181818;702.8;14196560
France;1902;1;24;3.3181818182;685.4;13845080
France;1902;1;25;2.3181818182;772.3;15600460
France;1902;1;26;2.0818181818;638.8;12903760
France;1902;1;27;1.7;634.5;12816900
France;1902;1;28;2.7181818182;791.5;15988300
France;1902;1;29;2.5545454545;662.4;13380480
France;1902;1;30;2.5;796.2;16083240
France;1902;1;31;2.9;668;13493600
France;1902;2;1;3.4090909091;696.3;14065260
France;1902;2;2;3.2181818182;850.3;17176060
