Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;4;30;12.5;1663.15;33595630
France;1901;5;1;13.0272727273;1651.5;33360300
France;1901;5;2;13.0545454545;1860.6625;37585382.5
France;1901;5;3;12.5272727273;1756.775;35486855
France;1901;5;4;12.0818181818;1977.1375;39938177.5
France;1901;5;5;12.0545454545;1949.4125;39378132.5
France;1901;5;6;12.3181818182;1894.1125;38261072.5
France;1901;5;7;13.5818181818;1860.7625;37587402.5
France;1901;5;8;13.4;1699.0875;34321567.5
France;1901;5;9;13.2727272727;1720.15;34747030
France;1901;5;10;13.9818181818;1849.825;37366465
France;1901;5;11;12.9181818182;1854.0625;37452062.5
France;1901;5;12;12.3727272727;1787.3375;36104217.5
France;1901;5;13;12.2727272727;1917.2375;38728197.5
France;1901;5;14;12.3;1762.975;35612095
France;1901;5;15;12.1090909091;1758.3375;35518417.5
France;1901;5;16;12.7090909091;1868.0875;37735367.5
France;1901;5;17;13.4636363636;2003.775;40476255
France;1901;5;18;14.2545454545;2029.275;40991355
France;1901;5;19;14.2636363636;1977.7597222222;39950746.3888888
France;1901;5;20;14.1181818182;1910.125;38584525
France;1901;5;21;14.3363636364;1891.1486111111;38201201.9444444
France;1901;5;22;13.9545454545;1873.6222222222;37847168.8888888
France;1901;5;23;14.0272727273;2118.4638888889;42792970.5555556
France;1901;5;24;15.0636363636;2163.6138888889;43705000.5555556
France;1901;5;25;16.5818181818;2228.3486111111;45012641.9444444
France;1901;5;26;15.3181818182;1786.4430555556;36086149.7222223
France;1901;5;27;14.6727272727;1920.1236111111;38786496.9444444
France;1901;5;28;14.3363636364;1926.6375;38918077.5
France;1901;5;29;14.4727272727;2075.8027777778;41931216.1111112
France;1901;5;30;14.5272727273;1995.3958333333;40306995.8333333
France;1901;5;31;13.6272727273;1755.5319444444;35461745.2777777
France;1901;6;1;14.4454545455;1755.2291666667;35455629.1666667
France;1901;6;2;16.1181818182;1956.6847222222;39525031.3888888
France;1901;6;3;15.9272727273;2105.4138888889;42529360.5555556
France;1901;6;4;15.3272727273;2086.5944444444;42149207.7777777
France;1901;6;5;16.3363636364;2241.7041666667;45282424.1666667
France;1901;6;6;16.0454545455;1997.7819444444;40355195.2777777
France;1901;6;7;16.3181818182;2082.7013888889;42070568.0555556
France;1901;6;8;16.7090909091;1958.0861111111;39553339.4444444
France;1901;6;9;16.7545454545;2135.7680555556;43142514.7222223
France;1901;6;10;16.9;1829.3875;36953627.5
France;1901;6;11;16.7818181818;2164.175;43716335
France;1901;6;12;16.1454545455;2143.3013888889;43294688.0555556
France;1901;6;13;16.3;2124.2194444444;42909232.7777777
France;1901;6;14;16.7454545455;2095.2958333333;42324975.8333333
France;1901;6;15;15.9;1844.2097222222;37253036.3888888
France;1901;6;16;16.4363636364;2127.0527777778;42966466.1111112
France;1901;6;17;17.0909090909;2093.1694444444;42282022.7777777
France;1901;6;18;17.5454545455;2031.2180555556;41030604.7222223
France;1901;6;19;16.8090909091;2040.1847222222;41211731.3888888
France;1901;6;20;16.6545454545;2086.7083333333;42151508.3333333
France;1901;6;21;16.8909090909;2127.7708333333;42980970.8333333
France;1901;6;22;17.1818181818;2256.2875;45577007.5
France;1901;6;23;16.8818181818;2426.7375;49020097.5
France;1901;6;24;17.6545454545;2422.3;48930460
France;1901;6;25;17.5090909091;2246.975;45388895
France;1901;6;26;18.1727272727;2376.2763888889;48000783.0555556
France;1901;6;27;19.6363636364;2311.7902777778;46698163.6111112
France;1901;6;28;19.3363636364;2203.3166666667;44506996.6666667
France;1901;6;29;18.2181818182;2155.8597222222;43548366.3888889
France;1901;6;30;18.7363636364;2377.5;48025500
France;1901;7;1;19.1727272727;2237.1125;45189672.5
France;1901;7;2;19.5818181818;2141.3125;43254512.5
France;1901;7;3;18.8454545455;2084.875;42114475
France;1901;7;4;18.6181818182;2169.8125;43830212.5
France;1901;7;5;18.4818181818;2096.825;42355865
France;1901;7;6;17.6454545455;2353.2125;47534892.5
France;1901;7;7;17.3181818182;2262.2375;45697197.5
France;1901;7;8;17.1636363636;2273.95;45933790
France;1901;7;9;17.5636363636;2217.35;44790470
France;1901;7;10;17.5636363636;2141.1;43250220
France;1901;7;11;18.0454545455;2160.4625;43641342.5
France;1901;7;12;17.6909090909;1827.4875;36915247.5
France;1901;7;13;18.4090909091;1980.475;40005595
France;1901;7;14;19.2090909091;2109.3625;42609122.5
France;1901;7;15;20.4272727273;2257.025;45591905
France;1901;7;16;19.8636363636;2342.25;47313450
France;1901;7;17;20;2032.9375;41065337.5
France;1901;7;18;20.3636363636;2216.85;44780370
France;1901;7;19;20.1363636364;2089.5875;42209667.5
France;1901;7;20;19.2454545455;1930.3;38992060
France;1901;7;21;19.8;2083.8875;42094527.5
France;1901;7;22;19.7909090909;2021.75;40839350
France;1901;7;23;19.0454545455;2089.725;42212445
France;1901;7;24;19.8363636364;2169.8375;43830717.5
France;1901;7;25;20.2454545455;2122.3;42870460
France;1901;7;26;20.4;2043.125;41271125
France;1901;7;27;20.2909090909;1972.9375;39853337.5
France;1901;7;28;20.1909090909;1878.6125;37947972.5
France;1901;7;29;18.9909090909;1912.575;38634015
France;1901;7;30;18.4090909091;2042;41248400
France;1901;7;31;19.7363636364;2216.4125;44771532.5
France;1901;8;1;20.5090909091;2043.625;41281225
France;1901;8;2;19.7;1908.3125;38547912.5
France;1901;8;3;18.9454545455;1920.2;38788040
France;1901;8;4;19.1363636364;2036.075;41128715
France;1901;8;5;19.8363636364;2128.5875;42997467.5
France;1901;8;6;19.2454545455;1884.45;38065890
France;1901;8;7;18.2;1760.7375;35566897.5
France;1901;8;8;18.0090909091;1845.4375;37277837.5
France;1901;8;9;18.3272727273;1936.85;39124370
France;1901;8;10;18.1909090909;1989.6625;40191182.5
France;1901;8;11;18.3909090909;1963.7875;39668507.5
France;1901;8;12;17.6454545455;1994.6125;40291172.5
France;1901;8;13;17.0545454545;1824.5375;36855657.5
France;1901;8;14;17.3181818182;1800.8125;36376412.5
France;1901;8;15;18.3818181818;1863.4875;37642447.5
France;1901;8;16;18.2909090909;1815.0375;36663757.5
France;1901;8;17;18.7636363636;1821.4375;36793037.5
France;1901;8;18;19.6272727273;1849.55;37360910
France;1901;8;19;18.8636363636;1805.1875;36464787.5
France;1901;8;20;18.2090909091;1736.9;35085380
France;1901;8;21;18.5;1926.825;38921865
France;1901;8;22;17.8909090909;1762.6375;35605277.5
France;1901;8;23;18.3454545455;1764.225;35637345
France;1901;8;24;16.8909090909;1582.175;31959935
France;1901;8;25;16.7727272727;1593.625;32191225
